provincia,departamento,nombre,tematica_principal,tipo_de_gestion,mes_de_realizacion,duracion_dias,cantidad_aprox_de_asistentes,tipo_entrada,ultimo_ano_de_realizacion,mes_num
Buenos Aires,Saavedra,Fiesta de Jineada y Folklore,Tradicionales,,Noviembre,3,11556,,2022,
Buenos Aires,Saavedra,138º ANIVERSARIO DE PIGÜÉ ,Cívico / Histórica,Público,Noviembre,3,11556,,2022,
Buenos Aires,Monte,Día del Pueblo - 243° aniversario de la Fundación de Monte,Cívico / Histórica,Público,Noviembre,3,2000,Gratuita,2022,11.0
Buenos Aires,General Pueyrredon,FESTIVAL MES DEL NIÑO,Otra,Privado,Agosto,3,5000,Gratuita,2022,8.0
Buenos Aires,Moron,Festival Cultural y Colecta Solidaria Vamos Lxs Pibxs,Artística,Privado,Agosto,3,2000,Gratuita,2022,8.0
Buenos Aires,Bahia Blanca,Festival de Poesía Latinoamericana de Bahía Blanca,Artística,Privado,Diciembre,3,500,Gratuita,2022,12.0
Buenos Aires,Balcarce,FESTIVAL IDOYAGA MOLINA,Artística,Privado,Diciembre,3,2500,Gratuita,2022,12.0
Buenos Aires,Escobar,Madygraf Por La Expropiación - 8 años de gestión obrera ,Artística,Privado,Diciembre,3,3000,Paga,2022,12.0
Buenos Aires,General Pueyrredon,"Festival, 10 años de La Casa de Enfrente",Artística,Privado,Diciembre,3,1500,Gratuita,2022,12.0
Buenos Aires,General Pueyrredon,Pre Cosquín Sede Mar del Plata,Artística,Privado,Diciembre,3,5600,Gratuita,2022,12.0
Buenos Aires,Tandil,"Festival disidente ""Pogo""",Otra,Privado,Diciembre,3,11556,Paga,2022,12.0
Buenos Aires,Tres de Febrero,Festival Aniversario: Asociación Cultural Arte y Vida Cumple 64 años,Artística,Privado,Diciembre,3,400,Gratuita,2022,12.0
Buenos Aires,General Pueyrredon,FESTEJAR la comunidad gitana,Otra,Privado,Febrero,3,120,Gratuita,2022,2.0
Buenos Aires,General Villegas,PUIG EN ACCIÓN,Artística,Privado,Julio,3,3200,Paga,2022,7.0
Buenos Aires,San Fernando,Festival Regional de Berenjenas al Escabeche,Gastronómica,Privado,Julio,3,300,Gratuita,2022,7.0
Buenos Aires,General San Martin,Ballester Escena Danza y Performance,Artística,Privado,Junio,3,11556,Gratuita,2022,6.0
Buenos Aires,Canuelas,Fiesta del Nieto y el Abuelo,Otra,Privado,Mayo,3,11556,Gratuita,2022,5.0
Buenos Aires,La Matanza,Festival TransFormar x el dia de la pachamama,Artística,Privado,Mayo,3,500,Gratuita,2022,5.0
Buenos Aires,General Pueyrredon,FESTIVAL PEP! 2022,Otra,Privado,Noviembre,3,19000,Gratuita,2022,11.0
Buenos Aires,Hurlingham,Buenos aires Celebra a la Comunidad Afro Edicion 2 Post Pandemia,Otra,Privado,Noviembre,3,55000,Gratuita,2022,11.0
Buenos Aires,La Plata,Festival Aire,Artística,Privado,Noviembre,3,6000,Gratuita,2022,11.0
Buenos Aires,La Plata,Festival de artes escénicas AÚRA,Artística,Privado,Noviembre,3,2500,Paga,2022,11.0
Buenos Aires,Las Flores,FESTIVAL POR LA INTEGRACIÓN,Artística,Privado,Noviembre,3,600,Gratuita,2022,11.0
Buenos Aires,Lomas de Zamora,"Fiesta celebración de la niñez, Infancia es Destino de los Pueblos.",Artística,Privado,Noviembre,3,1200,Gratuita,2022,11.0
Buenos Aires,Saladillo,Festival Nacional de cortos cinemátograficos  costumbristas de humor ,Artística,Privado,Noviembre,3,11556,Gratuita,2022,11.0
